,#file,MPIprocs,threadsPerMPI,totalThreads,startWallTime,endWallTime,totalSolve+SetupTime,totalSolveTime,nSteps,aveIterationsPerSolve,aveSolveIterationsPerTimestep,AveTimePerTimeStep,aveTotalSolve+setup,aveSolveTime
0,RK311,16,0,0,0.608396,11.5589,7.52631,7.11451,97,8.6323,25.8969,0.112892,0.0775908,0.0733455
1,RK311,32,0,0,0.823996,16.6919,10.6454,10.1591,97,8.18213,24.5464,0.163587,0.109746,0.104733
2,RK311,64,0,0,1.56394,36.6876,24.1268,23.2714,97,8.58419,25.7526,0.3621,0.24873,0.239911
3,RK311,128,0,0,1.64387,38.8774,25.6686,25.0647,97,8.61168,25.8351,0.383851,0.264625,0.258399
4,RK311,256,0,0,1.67401,41.5887,27.1668,26.4575,97,8.04467,24.134,0.411492,0.28007,0.272758
5,RK311,512,0,0,1.96219,56.3253,36.2373,35.5305,97,8.33333,25.0,0.560444,0.37358,0.366294
6,RK311,1024,0,0,2.17538,60.8342,40.3936,39.7283,97,8.41581,25.2474,0.60473,0.416429,0.40957
0,RK300,16,0,0,0.668023,7.45519,3.21477,3.08225,97,9.84536,9.84536,0.0699708,0.033142,0.0317758
1,RK300,32,0,0,0.881029,9.81953,3.78585,3.62099,97,9.0,9.0,0.0921495,0.0390294,0.0373298
2,RK300,64,0,0,1.39578,21.6477,9.00631,8.72361,97,9.73196,9.73196,0.208783,0.0928486,0.0899341
3,RK300,128,0,0,1.49675,22.9288,9.53484,9.33535,97,9.73196,9.73196,0.220949,0.0982973,0.0962407
4,RK300,256,0,0,1.58021,25.3565,10.7923,10.6092,97,9.0,9.0,0.245116,0.111261,0.109373
5,RK300,512,0,0,1.90615,30.919,12.0306,11.796,97,9.0,9.0,0.299102,0.124027,0.121608
6,RK300,1024,0,0,1.9456,34.2307,12.7262,12.515,97,9.24742,9.24742,0.332836,0.131198,0.129021
