,#file,MPIprocs,threadsPerMPI,totalThreads,timesteps,startTime,endTime,totalMPIRecv,totalMPISend,totalAllMPIWait,totalMPIReduction,aveMPIRecv,aveMPISend,aveAllMPIWait,aveMPIReduction
0,RK311,16,0,0,97,0.608396,11.5589,0.15556,1.43864,6.026,0.60425,0.00160371,0.0148313,0.0621237,0.00622938
1,RK311,32,0,0,97,0.823996,16.6919,0.5176,3.4275,23.168,2.039,0.00533608,0.0353351,0.238845,0.0210206
2,RK311,64,0,0,97,1.56394,36.6876,1.697,11.3465,95.118,6.6984,0.0174948,0.116974,0.980598,0.0690557
3,RK311,128,0,0,97,1.64387,38.8774,4.0596,23.469,411.11,16.334,0.0418515,0.241948,4.23825,0.168392
4,RK311,256,0,0,97,1.67401,41.5887,8.8147,48.558,899.75,36.717,0.0908732,0.500598,9.27577,0.378526
5,RK311,512,0,0,97,1.96219,56.3253,24.656,94.596,3918.3,386.49,0.254186,0.975216,40.3948,3.98443
6,RK311,1024,0,0,97,2.17538,60.8342,52.666,194.8,8075.8,824.08,0.542948,2.00825,83.2557,8.49567
0,RK300,16,0,0,97,0.668023,7.45519,0.1383,1.106,6.2452,0.6088,0.00142577,0.0114021,0.0643835,0.00627629
1,RK300,32,0,0,97,0.881029,9.81953,0.44556,3.134,23.297,1.9972,0.0045934,0.0323093,0.240175,0.0205897
2,RK300,64,0,0,97,1.39578,21.6477,1.5386,9.8997,104.969,7.319,0.0158619,0.102059,1.08215,0.0754536
3,RK300,128,0,0,97,1.49675,22.9288,3.7126,20.269,417.86,16.929,0.0382742,0.208959,4.30784,0.174526
4,RK300,256,0,0,97,1.58021,25.3565,8.317,42.144,1062.5,40.738,0.0857423,0.434474,10.9536,0.419979
5,RK300,512,0,0,97,1.90615,30.919,22.363,81.586,3662.3,402.64,0.230546,0.841093,37.7557,4.15093
6,RK300,1024,0,0,97,1.9456,34.2307,48.459,174.05,7574.1,2380.84,0.499577,1.79433,78.0835,24.5447
