,#file,MPIprocs,threadsPerMPI,totalThreads,aveTaskExec,aveTaskLocalComm,aveTaskWaitComm
0,RK311,16,0,0,0.105755,0.00404803,0.00253261
1,RK311,32,0,0,0.145492,0.00569525,0.00386258
2,RK311,64,0,0,0.33048,0.0091595,0.00789949
3,RK311,128,0,0,0.322906,0.00896423,0.0211558
4,RK311,256,0,0,0.340789,0.00858946,0.0220825
5,RK311,512,0,0,0.422121,0.00882809,0.0602096
6,RK311,1024,0,0,0.461252,0.0086034,0.0615004
0,RK301,16,0,0,0.0893819,0.00394808,0.00239713
1,RK301,32,0,0,0.110814,0.00543323,0.00398001
2,RK301,64,0,0,0.251852,0.00844595,0.00840291
3,RK301,128,0,0,0.242776,0.00853381,0.0215021
4,RK301,256,0,0,0.25897,0.00786917,0.0249567
5,RK301,512,0,0,0.316415,0.00809631,0.0612582
6,RK301,1024,0,0,0.34196,0.00854008,0.062247
