,#file,MPIprocs,threadsPerMPI,totalThreads,timesteps,startTime,endTime,totalMPIRecv,totalMPISend,totalAllMPIWait,totalMPIReduction,aveMPIRecv,aveMPISend,aveAllMPIWait,aveMPIReduction
0,RK311,16,0,0,97,0.618306,11.8217,0.15708,1.36296,6.122,0.62014,0.00161938,0.0140511,0.0631134,0.0063932
1,RK311,32,0,0,97,0.801014,16.6221,0.51456,3.568,22.453,1.9891,0.00530474,0.0367835,0.231474,0.0205062
2,RK311,64,0,0,97,1.55647,37.1595,1.7119,11.195,94.748,6.6986,0.0176485,0.115412,0.976784,0.0690577
3,RK311,128,0,0,97,1.59242,39.4009,4.0756,23.483,399.12,15.774,0.0420165,0.242093,4.11464,0.162619
4,RK311,256,0,0,97,1.72088,41.9306,8.8609,48.805,899.83,39.595,0.0913495,0.503144,9.2766,0.408196
5,RK311,512,0,0,97,2.0227,54.4352,24.875,95.622,3886.1,391.74,0.256443,0.985794,40.0629,4.03856
6,RK311,1024,0,0,97,2.19036,60.4126,52.196,193.32,8086.6,2340.46,0.538103,1.99299,83.367,24.1285
0,RK301,16,0,0,97,0.749309,10.3477,0.14511,1.25621,5.9668,0.5947,0.00149598,0.0129506,0.0615134,0.00613093
1,RK301,32,0,0,97,0.942369,13.3919,0.47575,3.3377,23.72,2.2011,0.00490464,0.0344093,0.244536,0.0226918
2,RK301,64,0,0,97,1.54889,29.7636,1.6589,10.0631,99.706,7.3952,0.0171021,0.103743,1.0279,0.0762392
3,RK301,128,0,0,97,1.57744,31.473,3.8959,20.842,405.57,17.032,0.0401639,0.214866,4.18113,0.175588
4,RK301,256,0,0,97,1.63474,34.3198,8.5379,43.474,970.77,40.469,0.0880196,0.448186,10.0079,0.417206
5,RK301,512,0,0,97,1.92683,43.7251,23.291,84.979,3843.6,407.57,0.240113,0.876072,39.6247,4.20175
6,RK301,1024,0,0,97,2.16305,46.9415,50.253,178.85,7873.4,848.35,0.518072,1.84381,81.1691,8.74588
