,#file,MPIprocs,threadsPerMPI,totalThreads,startTime,endTime,aveMean
0,RK311,16,0,0,0.618306,11.8217,0.115499
1,RK311,32,0,0,0.801014,16.6221,0.163104
2,RK311,64,0,0,1.55647,37.1595,0.367042
3,RK311,128,0,0,1.59242,39.4009,0.389778
4,RK311,256,0,0,1.72088,41.9306,0.414533
5,RK311,512,0,0,2.0227,54.4352,0.540335
6,RK311,1024,0,0,2.19036,60.4126,0.600229
0,RK301,16,0,0,0.749309,10.3477,0.0989525
1,RK301,32,0,0,0.942369,13.3919,0.128346
2,RK301,64,0,0,1.54889,29.7636,0.290873
3,RK301,128,0,0,1.57744,31.473,0.308202
4,RK301,256,0,0,1.63474,34.3198,0.336959
5,RK301,512,0,0,1.92683,43.7251,0.43091
6,RK301,1024,0,0,2.16305,46.9415,0.461634
