,#file,MPIprocs,threadsPerMPI,totalThreads,startTime,endTime,aveMean
0,RK310,16,0,0,0.84538,9.75749,0.0918774
1,RK310,32,0,0,0.967426,12.7319,0.121283
2,RK310,64,0,0,1.65298,27.5071,0.266537
3,RK310,128,0,0,1.9743,29.9657,0.288571
4,RK310,256,0,0,2.17769,30.8549,0.295641
5,RK310,512,0,0,3.43094,38.4108,0.360617
6,RK310,1024,0,0,4.40778,44.3666,0.411947
0,RK311,16,0,0,0.781383,12.7674,0.123567
1,RK311,32,0,0,0.846009,16.7015,0.163459
2,RK311,64,0,0,1.51863,36.9954,0.36574
3,RK311,128,0,0,1.95722,39.4685,0.386714
4,RK311,256,0,0,1.7175,43.4559,0.430293
5,RK311,512,0,0,2.08146,56.744,0.563531
6,RK311,1024,0,0,2.19023,65.072,0.648266
