,#file,MPIprocs,threadsPerMPI,totalThreads,aveTaskExec,aveTaskLocalComm,aveTaskWaitComm
0,RK310,16,0,0,0.0821083,0.00387594,0.00244736
1,RK310,32,0,0,0.103369,0.0055635,0.00400335
2,RK310,64,0,0,0.228293,0.00881353,0.00887903
3,RK310,128,0,0,0.222362,0.00891717,0.0213453
4,RK310,256,0,0,0.217905,0.00793288,0.0258777
5,RK310,512,0,0,0.248141,0.00816664,0.0611329
6,RK310,1024,0,0,0.29174,0.00830514,0.0640485
0,RK311,16,0,0,0.113863,0.00407979,0.00247296
1,RK311,32,0,0,0.146188,0.00569303,0.00384159
2,RK311,64,0,0,0.331305,0.00910074,0.00797994
3,RK311,128,0,0,0.31978,0.00894102,0.0207481
4,RK311,256,0,0,0.3585,0.00841738,0.0222504
5,RK311,512,0,0,0.446126,0.00856602,0.0628025
6,RK311,1024,0,0,0.523204,0.00871186,0.0631686
